# |dist(asec)|typed ident|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |      coord2 (FK5,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |    spec. type    |#bib|#not
1  |      0.00|HIP37740   |* kap Gem                          |** |07 44 26.8438122013 +24 23 52.787290890|116.1118555046249 +24.3979903935600|5.19     |4.49     |3.57     |2.86     |2.41     |G8III-IIIb        | 306|   0
2  |      0.00|HIP38538   |* phi Gem                          |*  |07 53 29.8081586208 +26 45 56.813063004|118.3742068188347 +26.7657753414339|     ~   |5.060    |4.963    |     ~   |     ~   |A5IV              |  90|   0
3  |      0.00|HIP36962   |* ups Gem                          |PM*|07 35 55.3500141720 +26 53 44.680194960|113.9806314520891 +26.8957384206048|7.54     |5.60     |4.06     |2.82     |1.91     |M0III             | 210|   0
4  |      0.00|HIP37629   |* sig Gem                          |RS*|07 43 18.7276907303 +28 53 00.631838445|115.8280383324350 +28.8835027671473|6.38     |5.41     |4.29     |3.37     |2.79     |K1IIIe            | 487|   0
5  |      0.00|HIP36393   |* 64 Gem                           |PM*|07 29 20.4408416688 +28 07 05.794678236|112.3351766616131 +28.1182702258285|     ~   |5.181    |5.064    |     ~   |     ~   |A4V               |  86|   0
6  |      0.00|HIP35941   |* 59 Gem                           |*  |07 24 33.4531218504 +27 38 16.281508164|111.1393945594982 +27.6378499070864|     ~   |6.110    |5.759    |     ~   |     ~   |F0:III:           |  42|   0
7  |      0.00|HIP36366   |* rho Gem                          |PM*|07 29 06.71887 +31 47 04.3773          |112.27800180 +31.78454318          |4.48     |4.50     |4.18     |3.86     |3.67     |F1V               | 331|   0
8  |      0.00|HIP36850   |* alf Gem                          |** |07 34 35.87319 +31 53 17.8160          |113.64947806 +31.88827614          |1.64     |1.62     |1.58     |1.51     |1.52     |A1V+A2Vm          | 272|   0
9  |      0.13|HIP36850   |* alf Gem A                        |SB*|07 34 35.862828 +31 53 17.79429        |113.649434872 +31.888270114        |     ~   |     ~   |1.9      |     ~   |     ~   |A1.5IV+           | 393|   0
10 |      0.00|HIP36896   |HD 60318                           |** |07 35 08.8032282360 +30 57 39.304643436|113.7866865288665 +30.9609118787627|     ~   |6.366    |5.347    |     ~   |     ~   |K0III             | 125|   0
11 |      0.00|HIP37204   |* 70 Gem                           |*  |07 38 32.8639164696 +35 02 54.779445240|114.6369393417157 +35.0485437675825|     ~   |6.501    |5.572    |     ~   |     ~   |G8III             |  46|   0
